data
25.8081
14.0334
20.277
3.5581
435.552
26.2723
14.2292
20.0969
3.53851
435.616
26.3738
14.2789
20.3355
3.49601
435.77
26.235
14.1764
20.3648
3.47659
435.519
26.4086
14.3319
20.1233
3.60546
435.592
26.3149
14.2794
20.3474
3.46021
435.571
26.3521
14.2956
20.284
3.36475
435.708
26.2483
14.5208
20.0917
3.50558
435.64
26.2928
14.4105
20.1247
3.55982
435.574
26.3017
14.4574
20.1914
3.42587
435.508
26.417
14.2939
20.2744
3.52744
435.565
26.3448
14.3966
20.1216
3.51803
435.688
26.4382
14.1934
20.2024
3.52827
435.63
26.4643
14.2562
20.0675
3.39234
435.787
26.3768
14.1714
20.2199
3.42232
435.886
26.3116
14.178
20.2131
3.45678
435.759
26.5293
14.0404
20.2156
3.52811
435.772
26.3129
14.1687
20.2081
3.43973
435.806
26.4075
14.0946
20.312
3.4491
435.817
26.3046
14.2143
20.193
3.61672
435.586
26.3935
14.1433
20.2138
3.47915
435.802
26.4001
14.0805
20.25
3.49355
435.679
26.3771
14.2371
20.206
3.45144
435.76
26.286
14.2619
20.2587
3.38232
435.79
26.4098
14.1869
20.2475
3.41077
435.895
26.2439
14.3761
20.1663
3.37889
435.667
26.3896
14.246
20.2163
3.56488
435.647
26.29
14.4109
20.1163
3.52728
435.707
26.2469
14.2238
20.233
3.5955
435.725
