,data
0,0.6737586627365932
1,0.6494271374077213
2,0.5278825136009431
3,0.6490795635650376
4,0.6751531637038692
5,0.6684180966168092
6,0.5375864785282445
7,0.665651136365636
8,0.5436248959226889
9,0.6208438276992893
10,0.6022795707595204
11,0.5771304218786661
12,0.5165339421246972
13,0.7934229335185865
14,0.669317480480797
15,0.8446447059381189
16,0.6745368357241781
17,0.46429825680414233
18,0.7532007829601305
19,0.7432220370014273
20,0.7149451177014366
21,0.574816804148689
22,0.5687204912175892
23,0.5416985330147961
24,0.40387742310529606
25,0.6795271774467027
26,0.6051864147867553
27,0.6457255992872141
28,0.6520602074999471
29,0.7952465889627925
