,data
0,1.5311968189670457
1,2.066033134093648
2,2.9365167578320808
3,2.3925450300653286
4,1.3774450268838796
5,2.125194491967564
6,3.7257540844562316
7,1.8683174517870622
8,3.9107307891247647
9,3.9276828145304927
10,4.0826258933663055
11,4.006028594335801
12,2.9488776253388695
13,1.4817846647217414
14,0.12052205886756528
15,2.768404826788193
16,3.2156708529771842
17,1.1225786598024552
18,-2.0062170304028015
19,2.613446897639794
20,2.698585596395294
21,1.5736110798697303
22,4.014901979773801
23,3.2333045634509925
24,1.9444594102101895
25,3.1565091127406406
26,1.7482741239221624
27,1.9272148211516127
28,2.8800795033196915
29,4.173767589792587
