,data
0,3.0998433656792503
1,5.612635375895216
2,2.72413320194672
3,3.539371215707142
4,3.4445045953314115
5,1.322069806330542
6,6.190402330244412
7,4.417144760649796
8,4.069171559055098
9,1.3880548690503416
10,0.03115101430193512
11,1.2154023925944224
12,4.107612845369066
13,2.225018298913364
14,5.343837579670791
15,3.3490762655007726
16,4.045063144306901
17,2.022969194757988
18,3.083246646447089
19,6.216558192924763
20,1.1148726871757855
21,3.4320870978437967
22,3.9154838569601242
23,8.732436494723242
24,1.0777720830943793
25,0.9668911957657778
26,6.619905572444917
27,1.8382842121174081
28,3.756789394284749
29,2.420632707039674
