,data
0,1.0641920125944853
1,0.49660149784066715
2,1.1986975598230094
3,0.8656713695769722
4,0.9959806962060676
5,0.40514483218299724
6,0.689954779160873
7,0.8378129151075763
8,0.7540859807617755
9,0.902030641759771
10,0.7773009306237973
11,0.5884069830117999
12,0.8353943394252709
13,0.5737308070747533
14,1.1085021767845016
15,0.5802315094384621
16,1.1491165184136523
17,0.5309298038579389
18,0.6390617859097126
19,0.8577107218582913
20,1.0334560490877545
21,0.8537567097795166
22,0.7761742140414691
23,0.7792721986629567
24,0.46480403257667313
25,0.5061830233973326
26,1.1039207836563998
27,0.7762315090460967
28,0.3758242998354384
29,0.2807648897342253
30,1.4019699977842262
31,1.4015962307798322
32,0.4845153913928471
33,0.7922768515301699
34,1.3594889998963973
35,0.5377430450980927
36,1.0019518591820453
37,0.9713618231465384
38,0.1665930974860672
39,0.9751275733041747
40,0.2804374479441287
41,0.621481482691916
42,1.325325892672299
43,0.6623257625131589
44,0.5964910564154333
45,0.9360604323784131
46,1.1473024487663062
47,0.5586372094341582
48,1.0461511913419708
49,1.2558985872959885
50,1.2108928868453428
51,0.9316395872136756
52,0.9339344910906383
53,0.8103035057556696
54,1.2250499878866694
55,0.8334546061200387
56,0.9288820193452723
57,0.841697638212083
58,0.601692249435656
59,0.6707739132137082
