data
498.217
498.142
497.674
500.188
500.768
499.145
499.244
499.667
499.825
500
500.276
498.024
499.447
499.061
500.264
498.977
498.59
501.395
499.834
499.239
499.321
499.445
498.907
499.25
499.809
499.819
500.234
499.413
499.982
