,data
0,1.6028383239253197
1,0.25728109645829833
2,0.5266097990285257
3,2.1059075987739417
4,2.0125023746130033
5,3.4249493859885383
6,0.9048582751518512
7,1.4246067828036366
8,0.779709465939655
9,3.370010802676053
10,1.0439753094945554
11,1.9626371721110014
12,2.384172626829887
13,1.620584493329149
14,1.0420563371010108
15,2.386128409104229
16,2.8459130357936564
17,1.6946793608668789
18,2.5985157730025588
19,1.5279947978012138
20,1.7039797186753889
21,2.2406084294393125
22,1.2559154766669194
23,2.9765743564037788
24,1.130796416874143
25,2.7639554411440423
26,2.367680474601444
27,1.7200553176110593
28,2.2740040242919797
29,1.6735343422515327
30,2.8716304695786024
31,1.7325637492500963
32,1.3548617384227524
33,2.024019522784131
34,1.6338053135850317
35,2.283311190575488
36,1.7927191931840352
37,1.0077832993784566
38,3.2258824382968476
39,1.7487424014276045
40,1.758447075903312
41,1.8992798417260706
42,1.4346996177067879
43,2.8214710914392747
44,1.7600135745775616
45,1.2942060176557062
46,2.381620106189816
47,1.8934758135588223
48,1.5880220640681442
49,1.4710964537146904
50,2.2046765080265622
51,0.7694913248150108
52,2.2976627782943804
53,2.300644226406159
54,2.043199729777984
55,0.21490848512348193
56,2.61398372594719
57,3.4534241773342753
58,2.391019909327758
59,1.9600085847174158
