,data
0,3.6139117384593087
1,1.247964388631008
2,-0.21138963041637027
3,2.2412703029917824
4,2.9768838826628556
5,-0.5177707512573466
6,5.3206044719283065
7,2.6181323093779545
8,3.571502069968747
9,0.9255760162984727
10,0.6220417147641131
11,0.797039126824036
12,-0.9103820340857292
13,2.219016603051754
14,3.6207870983709594
15,-0.5292712889355702
16,2.3185009118373676
17,2.2208875090921025
18,-0.533822299572841
19,2.392603459916566
20,2.067844800599519
21,2.185627238667575
22,-0.7738103215161707
23,3.237855307547766
24,0.9883705003920356
25,2.8727477195850732
26,-1.1043677898991233
27,3.1700046408445006
28,2.904187386641141
29,2.454990166748076
