,data
0,1.9618386375753563
1,2.2691293833971127
2,-0.9987648281078343
3,1.4240154388198913
4,3.416254006317278
5,1.608015401522984
6,-0.40168486409255877
7,3.5365158220262756
8,1.2658233592814259
9,5.3220211353728235
10,1.6256243111125552
11,1.1075228904213206
12,2.4133122746987667
13,3.880653906424362
14,4.075872879858089
15,2.252163234819332
16,3.9270490350317395
17,3.71707147848935
18,-0.6357622887083956
19,1.801662413169471
20,-0.1557263117989609
21,1.0767902907585944
22,2.821185464457224
23,2.007162648104056
24,1.2090197575647175
25,1.2734401942191744
26,1.5860848930469147
27,2.434299053019815
28,3.240272740388811
29,4.091474531999393
