,data
0,0.15093849143239135
1,1.1849290721793593
2,1.4237036967946965
3,0.15991410734585432
4,0.7260561931057082
5,0.964590456071236
6,0.38216181516129033
7,1.123968074651345
8,0.7202067304530901
9,1.3496052925793869
10,0.030112552681717197
11,1.2529462763303822
12,0.19861415846673647
13,0.8371717394590817
14,0.14440767095133433
15,1.2936388947555466
16,1.569434535376693
17,1.3148692108076458
18,1.0524242719512489
19,1.0864394707499305
20,1.3098773341002499
21,1.184228310899004
22,0.8068092525458177
23,1.2217104574184898
24,1.1648387957645627
25,1.6843464665608625
26,1.191999730244226
27,0.7738275679883104
28,0.6285454762231979
29,1.1906608596936292
