,data
0,2.5293601606740794
1,2.2851313366869603
2,1.7617353768960273
3,0.5696130337699996
4,2.405532448698596
5,2.7699367107534365
6,3.466410134366785
7,2.2724419935287887
8,3.4905473794966486
9,1.2839927690895694
10,0.39163909509404693
11,1.273233628946469
12,2.150803790844361
13,1.7783879967465392
14,2.52125608265671
15,1.5719800221495324
16,3.3657697556596124
17,2.663404207196638
18,1.041324167451187
19,2.392363313930795
20,1.7665404499523722
21,2.252032443471363
22,1.8298125370858949
23,1.802142719194242
24,2.243051690118091
25,1.780863097472694
26,3.4639870578672096
27,2.588842027516796
28,3.0027574055544823
29,2.6860747947393806
30,1.1938821171955858
31,2.7964279806772545
32,2.1002711880667704
33,1.4921514729109955
34,2.9594931346370332
35,2.067773517758816
36,3.1682161748966067
37,1.3784934580510484
38,1.4004038511004624
39,4.280289870353066
40,2.9405826692231436
41,3.7741618000931174
42,2.17674075931837
43,2.891285815159964
44,2.427287791690415
45,1.3352673529844512
46,1.5615973631207296
47,1.3747997925759758
48,2.2641259086274617
49,2.1447292103603046
50,2.5151645812010677
51,2.3347180701821486
52,1.8020166578884096
53,2.2028837782386974
54,2.756107639050865
55,1.8860690708698065
56,2.633213306127997
57,0.77556563735494
58,1.9024781201226335
59,2.3085706603727685
