,data
0,1.664677986565438
1,1.3438248143311358
2,1.6621728762792323
3,1.8589239363985222
4,1.8876436518902522
5,1.3544435034631757
6,0.5578745903310327
7,0.13354722528894092
8,1.51202126084446
9,1.2605435338122641
10,0.910090024518345
11,1.6657363301805943
12,1.5559659244992292
13,1.3844593285892501
14,1.485821008566661
15,0.8066980746959198
16,0.9778572538358148
17,1.4465652342832709
18,0.8849492049805012
19,0.6860211428834322
20,0.7016632191028406
21,1.8449294362397746
22,1.398762256977357
23,0.8577301912436542
24,1.1672102488262541
25,1.6935115017442315
26,1.206293083066725
27,1.5434382167458032
28,1.566134344127195
29,1.4182184590710185
