,data
0,2.1366629233884877
1,2.295356174722079
2,1.9385295362691402
3,1.5499310020514545
4,2.2017981992697826
5,1.4966649910576535
6,1.180818313689192
7,1.517485298309772
8,0.3055871719263663
9,2.1700196962026923
10,2.7696276415979844
11,0.8955021954928134
12,1.6329143106730415
13,1.07805814184358
14,1.4709760688278029
15,1.0211950023470031
16,1.756143407882043
17,1.7459788034664667
18,2.2889553071601503
19,1.8348040441109115
20,1.1569688468866217
21,1.0258027948430422
22,1.6718542705527182
23,1.873450493481758
24,0.6138235433236461
25,1.8648159740488632
26,1.311566060728028
27,2.3440595353593436
28,1.860666241773015
29,1.498864848031002
30,2.078016578844229
31,2.3485330458099827
32,0.8557701172360574
33,3.0356928689025473
34,0.9665213042850891
35,1.3933256886717427
36,1.837574615801751
37,1.4780089238932537
38,1.2214772030818364
39,2.8181866359705285
40,0.3900394512577985
41,1.4090688115043686
42,2.502140032792286
43,1.2570550637638378
44,3.277139616950878
45,1.787907947619808
46,1.507347866514804
47,2.007079169960769
48,1.5733207904374955
49,1.8376137566281776
50,1.6667301753769985
51,0.6790956567922646
52,2.681418312928014
53,0.8199799698497909
54,2.171956162987255
55,2.761722753805108
56,1.4031883311152211
57,1.8896919414455897
58,1.1374244445416144
59,1.8605555441816415
