,data
0,0.7597000520624223
1,2.6428019676067347
2,3.2132287006159728
3,1.905974887968501
4,1.6461304710430302
5,1.322187029110834
6,2.4565488571193446
7,2.5370669815701135
8,2.580525017003005
9,1.50352413097742
10,1.0921907689191734
11,1.3826676825152129
12,1.215960331864028
13,1.827418982799886
14,-0.045351841288180594
15,1.1055312435094953
16,0.9867181380410159
17,2.457469222233542
18,1.0523781108229704
19,1.4280767382418578
20,1.978677359774491
21,2.0695788170282734
22,2.2597037280161114
23,1.633400540245022
24,1.5241618872782912
25,-0.2112781371159831
26,1.6635169400762433
27,3.6470662711528092
28,0.8958091507540736
29,2.0772385239730986
