,data
0,2.4191370463144932
1,-0.5614825778187533
2,2.201249762091861
3,1.615775061254049
4,1.2805393470693596
5,2.3991145810963936
6,3.7982611189675133
7,0.16589840992403304
8,3.4168798231103557
9,2.3664826284924914
10,1.8251057010984315
11,2.3628217811331456
12,3.604036189395866
13,3.068202690458437
14,1.2918557696613275
15,2.13990420561308
16,0.40829736735640987
17,3.7237731359665442
18,-0.013244076067048471
19,2.0091104203466963
20,3.156240205101407
21,2.264737876373876
22,1.5780321866892149
23,1.8015931693030711
24,1.8755760966733863
25,3.0291234091000305
26,1.0901083041844526
27,2.0628784558210684
28,0.819743396516919
29,0.7945324818824151
