,data
0,1.1232197289137913
1,0.5245395859469539
2,1.8124389665567406
3,1.1250084053449427
4,1.5599914031089333
5,1.4587806323021508
6,0.7949228833583266
7,1.7138762454530538
8,1.4083190419050688
9,1.4907022748009655
10,1.0334442774147976
11,0.8747519996814037
12,1.4210272167322264
13,0.521065174456198
14,0.55807774874505
15,1.5442873166940196
16,1.2004292288359013
17,0.7202697091421006
18,1.4913094806010867
19,1.2963286442021171
20,0.6589840903544432
21,1.347914801314921
22,1.7939583646011261
23,1.38178585582267
24,1.3092606660064017
25,1.441549663715078
26,1.2107653462969226
27,1.3173472384836726
28,1.3803747821831232
29,1.245154885691576
