,data
0,0.8990507515086675
1,1.1563773932220633
2,1.0161912462289442
3,0.8472053568107225
4,0.46736182986328634
5,1.1021945197668321
6,1.086768834943796
7,1.2858987323463424
8,1.2107769906250574
9,0.6015112401924256
10,1.4666021592034486
11,0.8929563043973574
12,0.8702074488524788
13,1.4423593075684438
14,0.7271337941542111
15,0.9941384207191608
16,0.5305744738534086
17,0.9602305180486397
18,1.2519111698267726
19,1.0029452168449646
20,1.4337638427745354
21,0.931578047432851
22,0.8692911832241518
23,0.7211989751849903
24,1.436851680008714
25,1.1239438497421832
26,0.7432178714964652
27,0.6559504622513663
28,0.44145399003355174
29,0.41908931013382356
