,data
0,2.626548096692956
1,1.0721068881312463
2,2.4590793843495167
3,0.7602493225204423
4,2.0876561867769663
5,1.246728274513392
6,2.2468399999353945
7,2.0091210524941534
8,1.8770668687136287
9,0.19919395110784177
10,1.4774758922602453
11,1.1588228842790937
12,1.649849678503092
13,1.77848853746975
14,0.6548288502517426
15,0.44580005099015385
16,1.6849579437038869
17,1.4169957100436472
18,0.9476356313997307
19,1.3401365435944885
20,1.3572325069897664
21,1.067075138236198
22,2.0962312352274597
23,2.1919934326185797
24,1.67794640106767
25,1.121576979057051
26,2.1692879949012256
27,1.4038946670205759
28,2.092129125639187
29,2.104035563149189
