,data
0,1.1445907724325057
1,2.5120010850659282
2,2.976206005187051
3,2.044835956685419
4,3.9693872523690077
5,2.0934196482290135
6,1.735579953134334
7,2.8841301249098708
8,2.1844360420248634
9,2.3714623007587923
10,2.6109797197627618
11,2.1906045939282515
12,2.7843737371946764
13,2.9574942822112296
14,2.499557827328961
15,4.090382670357673
16,3.053381039217659
17,1.6962294208906203
18,2.900105638667417
19,3.0214154538284723
20,0.32905919546822204
21,2.2155073622587023
22,1.8190734935886983
23,2.22838326010322
24,3.547480664614534
25,3.9612268186197594
26,2.450823205753234
27,1.9957160885291367
28,3.141090699212897
29,2.3109451096384355
30,0.9261452348304613
31,0.7463523210218279
32,1.9715108876890162
33,1.7305860143937228
34,2.9191931198791754
35,1.9962420587321192
36,2.945842337681325
37,2.8688891151998885
38,0.881960468398217
39,4.584456863826857
40,1.3723006260526156
41,3.2900610726480615
42,1.5012157501903618
43,3.2137084137724403
44,1.1513651978510953
45,4.08437716666789
46,3.9311762566630186
47,2.4773219965539846
48,1.2866089390616193
49,3.133549066502553
50,3.3940492443246533
51,1.8568190446712665
52,4.0085584509801615
53,1.3854791367660513
54,2.5422912307212533
55,2.2957886994367662
56,2.341493364715482
57,2.4567437275398705
58,2.6602748459596848
59,2.852658934422471
