,data
0,0.7252867442176423
1,2.4180955378016336
2,2.887048437443766
3,2.3258542471406076
4,2.2451118807571713
5,2.037038531582247
6,2.4677283849083524
7,0.2731680354350863
8,2.6102580398611064
9,2.3757891367967034
10,1.8165493886651691
11,3.2863813863169327
12,0.5595098844417912
13,1.625702111675008
14,1.1810033725576574
15,3.4019704220335267
16,0.8530121362540319
17,2.408562069430852
18,2.1355316171972385
19,3.073403175611217
20,3.298144736376514
21,3.687771504649908
22,1.2610130355988747
23,1.7740728674142603
24,1.8607777725032049
25,1.0265192642739904
26,1.587946929366597
27,0.5148313501087582
28,2.452745626769083
29,2.8186028230434115
