,data
0,1.015224460546367
1,0.9003676652366852
2,0.20040022358072496
3,0.533661123817977
4,2.4670103962974657
5,1.0202101170321285
6,0.6217522071163181
7,0.6759623175800938
8,1.0388685615952342
9,1.6244598944011934
10,0.8840987926461521
11,1.3993418263470105
12,1.5464683878202303
13,1.5544653561801514
14,1.3069965293971848
15,2.1221971110022464
16,2.597251815940572
17,0.5561941630448497
18,0.6304934981338275
19,2.278679506096009
20,0.8665903042748673
21,0.004620919314190175
22,1.976790671332954
23,1.2694511411590956
24,1.7972573492750983
25,1.3677758712489332
26,1.208556772651966
27,1.4699384611182447
28,1.7731909217746447
29,1.6257921811216263
30,0.6713938064041954
31,1.5817990463516511
32,0.7796058049093761
33,0.6131540536220249
34,0.4891698125087748
35,1.2745087384580727
36,0.3590162292284076
37,1.0704798417869696
38,1.2576454491098192
39,1.705565472752429
40,1.0910116660999303
41,1.3038101884280293
42,-0.28561372880135827
43,1.6053171478165498
44,2.10371021060031
45,2.101605547157763
46,2.1717817251533447
47,1.3757768895246334
48,0.7364114558033212
49,-0.15748943812344063
50,2.7708153783978764
51,1.8425518752548662
52,1.2357403680598789
53,1.283510941786113
54,2.5153626228882104
55,2.2809317687157207
56,0.12046199611200437
57,1.6019900337073685
58,1.84615308147866
59,1.3326447313021372
