,data
0,2.530498778382115
1,1.8929555453047173
2,1.4741818509518798
3,0.5482557352079732
4,2.750904353473444
5,2.2202923544358697
6,2.0660583667715158
7,0.3686574295073227
8,0.5964497782340674
9,0.6861743497928966
10,1.8010796131961537
11,1.6253466199208695
12,2.260032115616772
13,1.463185605576222
14,1.5550096112376648
15,0.6699753660620769
16,2.81923663203853
17,2.447078336019189
18,0.3923232198084061
19,0.8806458973398124
20,-0.09212344530186778
21,2.030253221864993
22,0.677442019261383
23,0.035441107975500596
24,2.5981243790024364
25,2.3023793666827417
26,1.3887259159524148
27,0.310686125879853
28,3.4885916894507547
29,1.8108808874099673
30,3.3045652699176102
31,1.9466616947852886
32,0.11236693594390634
33,1.5542485851418937
34,0.5378100003053582
35,0.1658435151591111
36,3.7244967223645515
37,0.8387269983874766
38,0.9735848899475887
39,1.873884302639397
40,1.2464265851247736
41,2.575951254572196
42,1.567438173450547
43,1.2972957398070917
44,1.611604971277568
45,2.2847348551906665
46,1.9707565250266665
47,2.1357366499504824
48,0.9944577237544256
49,2.3479248697595043
50,1.777593721544852
51,1.2450121960104856
52,1.3637258312014329
53,1.6921357829482737
54,1.4867323141540343
55,1.2633773555074628
56,1.5733352862743895
57,1.1245505212683287
58,1.7191489993074338
59,1.5523486328730411
