,data
0,1.2129301063434133
1,3.0161328845033744
2,1.6257598798366453
3,2.7990149118153553
4,2.7155830331936244
5,3.469139927398215
6,2.8116062561571384
7,0.9468719277624023
8,2.001069248388753
9,2.2575472792359803
10,1.4442333781959502
11,0.4464039740272907
12,3.066365940090412
13,3.923204146533972
14,3.5002072021702295
15,4.890400727991837
16,2.354316123687197
17,1.8718915981780255
18,3.3500620213085313
19,0.7911668182017231
20,1.5473506620939852
21,4.618894301250265
22,1.7434609103117364
23,2.5053052096112176
24,2.000965174294652
25,3.07852707867624
26,3.104621319039248
27,5.113444786346863
28,2.3542185552990036
29,-0.1472354425601674
