,data
0,2.10233260202331
1,1.6458483880305699
2,1.3977238933642278
3,2.0663347731232835
4,0.8468592631170145
5,2.119464499980665
6,1.6975671864434956
7,1.761257200756403
8,0.5817345451175859
9,1.2462655368509172
10,2.6205132997141845
11,1.939743275430286
12,1.0925236987399414
13,2.8207089193960764
14,2.848161732832546
15,1.4178260796369475
16,1.0883590493545467
17,2.5738108682870076
18,2.2213438593574573
19,1.523606416062007
20,1.8076228507310692
21,1.4104013550882415
22,1.359033870596405
23,1.3090025402526768
24,1.227587966394772
25,1.623213127264069
26,2.0056127193769764
27,1.069907322431972
28,1.8233650282461618
29,2.7558198512034435
