,data
0,3.3958992226026403
1,3.216402550006986
2,5.286292476048069
3,1.9681247531892487
4,2.488286864611605
5,3.460702272465383
6,1.461573570149091
7,4.52274174143137
8,2.7549865086377077
9,2.1492133954369725
10,2.0907279200969944
11,1.1886095430442154
12,1.089949047779393
13,2.359870304746137
14,4.410192821129576
15,1.9449613472736607
16,3.3079429231460535
17,1.409098859759412
18,3.6529620346474907
19,3.808540592756234
20,2.5157071123271018
21,4.308346843936592
22,0.9935552648883774
23,2.981400434593521
24,2.492948704179363
25,1.8216045521100386
26,6.638084160973993
27,3.446738933009239
28,3.5407166030988453
29,2.995209106567317
30,2.3353106186191077
31,-0.1488719674274086
32,2.7966757456597415
33,6.265680400162806
34,3.12738464669938
35,2.64895638275407
36,1.2232448738006372
37,3.2089433106314624
38,2.5633714159038266
39,1.014998888388314
40,4.184549030556388
41,5.185193509353316
42,1.3189542845124493
43,2.9476473695373366
44,0.3378895008224041
45,1.9365101285206268
46,2.777734226614182
47,4.025495839483712
48,2.262588549551195
49,1.8091341101980523
50,3.1301547675676433
51,2.680021465744411
52,3.1038931552476314
53,2.2476838842023006
54,2.8756557544851487
55,1.7871102796397849
56,2.6215349542463584
57,3.8139203994957063
58,1.9777491871826403
59,2.6691301088218995
