,data
0,4.011223625215392
1,3.8217107234862384
2,1.077741245842883
3,0.08455873134806646
4,1.310891064272923
5,3.849167569417343
6,3.4553621138557866
7,1.9697034646972136
8,2.59771511977693
9,4.113461285634886
10,-0.2749902458546418
11,1.8452344223070922
12,2.6462818824743946
13,1.0550713611070177
14,2.4543891036386714
15,2.4819061545509276
16,2.900041249573188
17,3.918672413256769
18,3.6655324467816284
19,0.8448361422238344
20,2.689440119288322
21,3.676154485488147
22,1.5728559271044302
23,-1.3671377910778881
24,4.560950994538393
25,1.089004736245324
26,1.5675947131034915
27,0.9499189099536922
28,3.026883653053608
29,-0.019249663601577094
