,data
0,0.6861889702862173
1,0.9057484225081509
2,0.3260852378110049
3,0.5841544821062831
4,0.6641688121979797
5,0.603203543555078
6,0.7598737907081873
7,0.3976023141160201
8,0.7059359303189634
9,0.6127247378327013
10,0.36284685289297947
11,0.9220521485883775
12,0.902734491107144
13,0.7005886005994757
14,0.7745316092464758
15,0.5546922871917148
16,0.5166986883696804
17,0.8617274404777969
18,0.49626534464667116
19,0.7608963074026732
20,0.7372392177490984
21,0.8115114783562197
22,0.5029648409919267
23,0.7768569589315464
24,0.9044489112157622
25,0.3799019221426266
26,0.6058255115666679
27,0.9248692736800168
28,0.6797810566689081
29,0.5912758728961146
