,data
0,0.8281769014088174
1,1.3949637151756225
2,1.3770743990689849
3,2.9853217608623326
4,2.9078494714091443
5,1.3441699824674576
6,2.391547044740979
7,3.0555040076681896
8,2.1342713942197795
9,3.2485537569665714
10,3.4989672403729966
11,2.0846189965572197
12,1.5007684514425383
13,1.6417625404904612
14,2.092633650970821
15,-0.07703084720252162
16,2.1096888450007656
17,2.1908950742139823
18,2.4259272326995447
19,1.8368297404497171
20,3.0060253332870124
21,0.6316518619117726
22,2.2441644195962214
23,2.079757082520672
24,2.061612140228528
25,3.065625299348369
26,2.918100766182329
27,1.9648979175440413
28,1.0779094713374409
29,1.7084243830864672
