,data
0,2.6717148829850714
1,1.346606787153485
2,2.285716189336341
3,0.818821122843457
4,3.0611611939363432
5,2.8328659169902863
6,1.8356557605409531
7,1.7833494499110931
8,0.9871828793421842
9,1.6136675362333408
10,1.7978283560435815
11,1.2351748447739914
12,0.9757097014737486
13,2.671357329493522
14,2.0010731535338593
15,2.915533612326877
16,0.657266068603503
17,1.3084325592045234
18,1.7120578091416967
19,2.1761450340033126
20,1.1883186626859898
21,2.794360630598037
22,2.017738685420976
23,1.230332418888345
24,0.9888388126737733
25,1.6735868497777688
26,1.2426106795773606
27,1.6888533379557669
28,2.6138222706304695
29,2.7251309842056664
