,data
0,2.054731714663986
1,2.0065388495545875
2,0.9186967194017404
3,1.5685206135296557
4,4.062488800833721
5,1.78955471734064
6,2.24354070816147
7,0.05403500014523521
8,1.6988364792649473
9,1.0179937413333557
10,2.1078061038092666
11,1.9746964621114005
12,1.632274217978495
13,1.7742081220365031
14,1.920981931917744
15,2.058576924224893
16,0.773969161151757
17,1.3519732064504004
18,1.4972486423302094
19,1.147092927717435
20,1.7198155206145942
21,1.72923200990566
22,0.4920043996014032
23,2.3333079752532537
24,0.8523553286526855
25,2.7611590498315124
26,2.109308842560938
27,0.5072934973389005
28,0.9436806978092951
29,1.3725474730753056
