,data
0,0.4715219595566543
1,0.7588130729039447
2,0.6349785113115322
3,0.5753797773110111
4,0.6876630389444326
5,0.6891593707709583
6,0.5092708148942106
7,0.8468038671043453
8,0.9070149139224792
9,0.696640110652159
10,0.6117396141601099
11,0.6806483034163224
12,0.8878084756168751
13,0.6031961055740259
14,0.6692156801755106
15,0.5355391275451404
16,0.6371075920248221
17,0.9560669339964669
18,0.778887625173033
19,0.6631820451623954
20,0.7573418601179464
21,0.74398914014226
22,0.6571986739430496
23,0.4926184986089961
24,0.6589023541303929
25,0.49072389988984166
26,0.5100943761344354
27,0.7241153034017721
28,0.8777009536095874
29,0.8714337636280751
